VARNAMES: CID HOSTGAL_sSFR
SN: ASASSN-15fa -9.584370
SN: ASASSN-15fs -9.242680
SN: ASASSN-15go -9.138140
SN: ASASSN-15hg -11.135700
SN: ASASSN-15il -9.730400
SN: ASASSN-15jl -9.123870
SN: ASASSN-15jt -16.445000
SN: ASASSN-15kx -12.625200
SN: ASASSN-15la -9.400290
SN: ASASSN-15lg -9.181960
SN: ASASSN-15lu -8.847100
SN: ASASSN-15mf -11.129500
SN: ASASSN-15mg -9.322250
SN: ASASSN-15mi -9.646670
SN: ASASSN-15np -12.194400
SN: ASASSN-15nq -10.334400
SN: ASASSN-15nr -9.109760
SN: ASASSN-15od -12.198500
SN: ASASSN-15oh -9.577330
SN: ASASSN-15pm -9.123870
SN: ASASSN-15pn -9.730400
SN: ASASSN-15pr -9.994010
SN: ASASSN-15sf -9.053470
SN: ASASSN-15ss -9.496880
SN: ASASSN-15tg -10.513900
SN: ASASSN-15ti -9.115680
SN: ASASSN-15tz -9.584370
SN: ASASSN-15uu -9.181960
SN: ASASSN-15uv -9.138140
SN: ASASSN-15uw -12.567800
SN: ASASSN-16ad -9.722030
SN: ASASSN-16aj -12.194400
SN: ASASSN-16av -12.194400
SN: ASASSN-16ay -9.496880
SN: ASASSN-16bc -9.242680
SN: ASASSN-16bq -12.567800
SN: ASASSN-16br -8.832810
SN: ASASSN-16ch -9.574740
SN: ASASSN-16cs -9.056690
SN: ASASSN-16ct -16.433200
SN: ASASSN-16db -9.278240
SN: ASASSN-16dn -9.278240
SN: ASASSN-16dw -9.299570
SN: ASASSN-16em -8.868870
SN: ASASSN-16fo -12.567800
SN: ASASSN-16fs -12.194400
SN: ASASSN-16hc -20.774500
SN: ASASSN-16hr -9.730400
SN: ASASSN-16hz -8.936450
SN: ASASSN-16ip -16.445000
SN: ASASSN-16jf -8.830120
SN: ASASSN-16la -9.049690
SN: ASASSN-16lg -9.299570
SN: ASASSN-16oz -9.056690
SN: ASASSN-17at -9.278240
SN: ASASSN-17bs -9.109760
SN: ASASSN-17co -11.129500
SN: ASASSN-17eb -9.682380
SN: MASTERJ0134 -9.730400
SN: MASTEROTJ08 -12.194400
SN: MASTEROTJ15 -9.483650
SN: PSNJ0107203 -12.567800
SN: PSNJ0153424 -8.936450
SN: PSNJ0717457 -11.129500
SN: PSNJ0859349 -9.730400
SN: PSNJ1204051 -9.322250
SN: PSNJ1602512 -12.198500
SN: PSNJ2043531 -8.826680
SN: PSNJ2352371 -12.567800
SN: 000014 -8.936450
SN: 000137 -11.129400
SN: 000190 -11.129500
SN: 010010 -8.936450
SN: 010026 -9.056690
SN: 020027 -9.726300
SN: 06D2fb -9.726300
SN: 070242 -10.170200
SN: 080064 -9.056690
SN: 090275 -9.056690
SN: 100405 -11.124500
SN: 130308 -9.730400
SN: 130514 -9.726300
SN: 140181 -8.839940
SN: 151034 -11.135700
SN: 160099 -9.056690
SN: 180166 -9.138140
SN: 190230 -9.730400
SN: 190260 -9.861080
SN: 190340 -9.181960
SN: 1284587 -9.400290
SN: 1317666 -9.056690
SN: 1255502 -9.242680
SN: 1262128 -16.445000
SN: 1293758 -9.584370
SN: 1296657 -8.847100
SN: 1316385 -9.056690
SN: 1330031 -10.334400
SN: 1308884 -9.242680
SN: 090037 -9.181960
SN: 150455 -9.483650
SN: 010454 -9.730400
SN: 160046 -11.327800
SN: 2006fw -8.832810
SN: 10096 -8.832810
SN: 10805 -9.056690
SN: 11067 -9.726300
SN: 15459 -9.056690
SN: 16314 -9.053470
SN: 16541 -10.507700
SN: 16956 -10.170200
SN: 18298 -9.730400
SN: 19003 -11.129500
SN: 19626 -9.730400
SN: 21839 -9.181960
SN: 1998dk -9.181960
SN: 2004dt -9.901470
SN: 2005ku -9.056690
SN: 2011im -9.584370
SN: 530061 -9.584370
SN: 560033 -9.722030
SN: 1334084 -9.109760
SN: 2018dem -9.722030
